query_idx,predicted_db_idx,score,match_type,overlap,xy_distance_m,has_gt_positive
124,891,0.5,TP,0.393864,2.429,True
125,892,0.401361,TP,0.375312,2.818,True
126,894,0.32,TP,0.388136,4.865,True
127,895,0.436709,TP,0.390969,4.871,True
128,896,0.469512,TP,0.39216,4.861,True
129,-1,0.0,FN,0.0,0.0,True
130,897,0.319018,TP,0.395548,3.739,True
131,898,0.315789,TP,0.408313,3.89,True
132,-1,0.0,FN,0.0,0.0,True
133,-1,0.0,FN,0.0,0.0,True
134,900,0.308108,TP,0.377343,4.397,True
135,902,0.354651,TP,0.388423,3.995,True
136,903,0.413408,TP,0.374359,3.971,True
137,904,0.404494,TP,0.382194,4.012,True
138,-1,0.0,FN,0.0,0.0,True
139,-1,0.0,FN,0.0,0.0,True
140,-1,0.0,FN,0.0,0.0,True
141,908,0.590361,TP,0.351401,4.339,True
142,909,0.45614,TP,0.364574,4.365,True
143,909,0.505,TP,0.358515,3.526,True
144,910,0.455357,TP,0.362223,3.288,True
145,911,0.55,TP,0.355473,3.002,True
146,912,0.579909,TP,0.350506,2.707,True
147,912,0.534483,TP,0.338184,3.533,True
148,914,0.579399,TP,0.363252,2.326,True
149,915,0.51626,TP,0.389397,2.282,True
150,915,0.559671,TP,0.381953,1.789,True
151,916,0.490272,TP,0.39451,1.261,True
152,917,0.450758,TP,0.411194,0.784,True
153,918,0.452632,TP,0.424937,1.026,True
154,920,0.466238,TP,0.451955,1.813,True
155,921,0.427184,TP,0.470426,1.309,True
156,922,0.502762,TP,0.484596,1.381,True
157,922,0.452012,TP,0.478702,1.82,True
158,923,0.543956,TP,0.477967,1.847,True
159,924,0.53022,TP,0.474727,1.881,True
160,925,0.504249,TP,0.476839,1.198,True
161,926,0.524845,TP,0.455157,1.24,True
162,927,0.468085,TP,0.434135,1.293,True
163,928,0.513889,TP,0.41001,1.352,True
164,929,0.539792,TP,0.394267,1.434,True
165,930,0.572549,TP,0.391857,1.551,True
166,931,0.446721,TP,0.389452,0.969,True
167,932,0.532787,TP,0.37797,0.47,True
168,933,0.531915,TP,0.358901,0.409,True
169,934,0.465,TP,0.340918,0.844,True
170,935,0.521739,TP,0.354375,1.316,True
171,936,0.479592,TP,0.362084,1.779,True
172,936,0.516129,TP,0.344407,1.501,True
173,937,0.478261,TP,0.359964,1.098,True
174,938,0.520362,TP,0.355465,1.295,True
175,939,0.591623,TP,0.354501,1.382,True
176,940,0.505435,TP,0.345659,1.43,True
177,941,0.519126,TP,0.335995,1.532,True
178,942,0.48731,TP,0.342919,1.685,True
179,944,0.515464,TP,0.36317,1.373,True
180,945,0.509709,TP,0.363165,0.997,True
181,946,0.383333,TP,0.368109,0.576,True
182,947,0.364929,TP,0.379427,0.098,True
183,948,0.392157,TP,0.378942,0.413,True
184,949,0.442857,TP,0.385447,0.642,True
185,949,0.485714,TP,0.362015,3.38,True
186,951,0.487437,TP,0.380074,1.891,True
187,951,0.439791,TP,0.369326,3.0,True
188,57,0.38172,TP,0.357117,3.219,True
189,954,0.303867,TP,0.386309,4.339,True
190,60,0.398058,TP,0.377065,1.509,True
191,60,0.463687,TP,0.357642,1.686,True
192,62,0.326316,TP,0.344959,2.709,True
193,62,0.333333,TP,0.328052,2.912,True
194,64,0.364162,TP,0.34514,3.446,True
195,65,0.395349,TP,0.350614,3.773,True
196,961,0.372222,TP,0.345224,8.011,True
197,67,0.41206,TP,0.355,4.145,True
198,67,0.441048,TP,0.338893,3.266,True
199,68,0.559322,TP,0.357393,3.068,True
200,69,0.403226,TP,0.332025,2.986,True
201,70,0.567568,TP,0.351967,3.033,True
202,71,0.52381,TP,0.357994,3.207,True
203,72,0.481132,TP,0.37208,3.422,True
204,73,0.353191,TP,0.382745,3.712,True
205,73,0.448889,TP,0.372354,3.114,True
206,75,0.300493,TP,0.392321,4.376,True
207,-1,0.0,FN,0.0,0.0,True
208,76,0.387097,TP,0.367636,3.33,True
209,-1,0.0,FN,0.0,0.0,True
210,78,0.387879,TP,0.360623,3.863,True
211,-1,0.0,FN,0.0,0.0,True
212,80,0.404372,TP,0.382736,4.623,True
213,-1,0.0,FN,0.0,0.0,True
214,-1,0.0,FN,0.0,0.0,True
215,979,0.405714,TP,0.378058,4.754,True
216,979,0.409091,TP,0.368378,3.896,True
217,980,0.38,TP,0.374201,3.29,True
218,981,0.373737,TP,0.351582,2.646,True
219,982,0.40884,TP,0.353918,2.329,True
220,984,0.429379,TP,0.367916,2.156,True
221,984,0.490446,TP,0.360128,1.995,True
222,986,0.379518,TP,0.369203,1.392,True
223,987,0.507042,TP,0.376486,1.122,True
224,988,0.433735,TP,0.377292,0.914,True
225,989,0.436782,TP,0.37349,1.399,True
226,990,0.305,TP,0.374329,1.705,True
227,-1,0.0,FN,0.0,0.0,True
228,991,0.375,TP,0.36019,1.382,True
229,992,0.395722,TP,0.376575,1.561,True
230,993,0.430052,TP,0.378426,1.748,True
231,994,0.356725,TP,0.379583,1.214,True
232,995,0.376471,TP,0.371789,1.048,True
233,996,0.394737,TP,0.365475,0.825,True
234,997,0.46798,TP,0.342521,0.781,True
235,998,0.489083,TP,0.360855,0.705,True
236,999,0.432773,TP,0.375791,0.745,True
237,1000,0.381395,TP,0.366675,0.845,True
238,1001,0.475676,TP,0.360722,1.025,True
239,1002,0.472222,TP,0.358562,0.957,True
240,-1,0.0,FN,0.0,0.0,True
241,1004,0.49115,TP,0.343806,1.01,True
242,1005,0.535135,TP,0.349164,1.017,True
243,-1,0.0,FN,0.0,0.0,True
244,-1,0.0,FN,0.0,0.0,True
245,-1,0.0,FN,0.0,0.0,True
246,1009,0.496815,TP,0.332085,1.426,True
247,1010,0.416149,TP,0.313229,1.626,True
248,-1,0.0,FN,0.0,0.0,True
249,-1,0.0,FN,0.0,0.0,True
250,-1,0.0,FN,0.0,0.0,True
251,1014,0.492754,TP,0.357173,1.588,True
252,1015,0.545455,TP,0.405218,1.841,True
253,1016,0.682759,TP,0.429077,1.957,True
254,1016,0.545977,TP,0.445491,1.773,True
255,1017,0.521739,TP,0.446903,1.566,True
256,1018,0.548387,TP,0.462684,1.36,True
257,1019,0.562092,TP,0.48843,1.226,True
258,1020,0.548913,TP,0.482538,1.27,True
259,1021,0.477679,TP,0.509152,1.364,True
260,1022,0.376106,TP,0.516262,1.405,True
261,1022,0.323232,TP,0.490277,2.52,True
262,1023,0.398374,TP,0.499087,2.175,True
263,1024,0.368421,TP,0.494572,1.89,True
264,1025,0.379928,TP,0.494869,1.749,True
265,1026,0.330128,TP,0.482628,1.459,True
266,-1,0.0,FN,0.0,0.0,True
267,-1,0.0,FN,0.0,0.0,True
268,-1,0.0,FN,0.0,0.0,True
269,-1,0.0,FN,0.0,0.0,True
270,-1,0.0,FN,0.0,0.0,True
271,1033,0.304348,TP,0.436806,1.868,True
272,-1,0.0,FN,0.0,0.0,True
273,-1,0.0,FN,0.0,0.0,True
274,-1,0.0,FN,0.0,0.0,True
275,-1,0.0,FN,0.0,0.0,True
276,-1,0.0,FN,0.0,0.0,True
277,-1,0.0,FN,0.0,0.0,True
278,1039,0.325301,TP,0.391688,2.184,True
279,1041,0.442073,TP,0.320962,0.69,True
280,1042,0.424749,TP,0.220535,0.629,True
281,1043,0.449511,TP,0.21245,0.949,True
282,1044,0.465455,TP,0.206899,1.11,True
283,1558,0.428571,TP,0.307827,3.318,True
284,-1,0.0,FN,0.0,0.0,True
285,1047,0.324468,TP,0.258643,1.607,True
286,1048,0.416988,TP,0.268954,2.656,True
287,-1,0.0,FN,0.0,0.0,True
288,-1,0.0,FN,0.0,0.0,True
289,-1,0.0,FN,0.0,0.0,True
290,-1,0.0,FN,0.0,0.0,True
291,-1,0.0,FN,0.0,0.0,True
292,2166,0.625984,TP,0.339758,1.546,True
293,1297,0.372093,TP,0.336806,3.095,True
294,547,0.431111,TP,0.388597,2.76,True
295,546,0.432099,TP,0.331487,2.971,True
296,-1,0.0,FN,0.0,0.0,True
297,-1,0.0,FN,0.0,0.0,True
298,-1,0.0,FN,0.0,0.0,True
299,-1,0.0,FN,0.0,0.0,True
300,-1,0.0,FN,0.0,0.0,True
301,2175,0.545775,TP,0.429924,1.449,True
302,-1,0.0,FN,0.0,0.0,True
303,-1,0.0,FN,0.0,0.0,True
304,-1,0.0,FN,0.0,0.0,True
305,-1,0.0,FN,0.0,0.0,True
306,2181,0.554217,TP,0.540366,1.862,True
307,-1,0.0,FN,0.0,0.0,True
308,2182,0.578261,TP,0.521141,2.065,True
309,2184,0.49004,TP,0.543491,1.718,True
310,1282,0.482353,TP,0.42689,4.296,True
311,-1,0.0,FN,0.0,0.0,True
312,2187,0.577778,TP,0.558405,1.543,True
313,1278,0.495833,TP,0.435318,3.24,True
314,1277,0.495763,TP,0.448267,3.299,True
315,2190,0.564394,TP,0.566747,1.21,True
316,2191,0.558704,TP,0.544325,0.9,True
317,2192,0.571429,TP,0.536387,1.053,True
318,2193,0.538168,TP,0.523378,1.045,True
319,2194,0.560784,TP,0.513568,0.997,True
320,2195,0.581132,TP,0.494482,1.242,True
321,2196,0.520737,TP,0.476499,1.429,True
322,2196,0.489083,TP,0.461202,1.928,True
323,2197,0.56391,TP,0.479056,1.638,True
324,2198,0.483636,TP,0.488231,1.535,True
325,2199,0.493007,TP,0.495333,1.307,True
326,2200,0.397541,TP,0.51037,0.976,True
327,2202,0.303136,TP,0.504448,2.862,True
328,2202,0.403333,TP,0.479299,1.29,True
329,2203,0.504478,TP,0.473545,1.288,True
330,2204,0.557994,TP,0.455252,1.249,True
331,2205,0.41958,TP,0.445335,1.216,True
332,2206,0.45583,TP,0.442216,1.218,True
333,2207,0.472414,TP,0.436974,1.247,True
334,2208,0.490909,TP,0.429312,1.337,True
335,2209,0.542125,TP,0.427892,1.366,True
336,2210,0.515021,TP,0.442176,1.346,True
337,2211,0.458182,TP,0.436722,1.31,True
338,2212,0.536332,TP,0.426371,1.306,True
339,2213,0.542373,TP,0.443601,1.334,True
340,2214,0.48289,TP,0.457426,1.339,True
341,500,0.440476,TP,0.397481,2.832,True
342,2216,0.546816,TP,0.472294,1.189,True
343,2217,0.436,TP,0.473886,1.104,True
344,-1,0.0,FN,0.0,0.0,True
345,2219,0.449782,TP,0.473611,0.967,True
346,495,0.471698,TP,0.385748,4.429,True
347,-1,0.0,FN,0.0,0.0,True
348,2222,0.414343,TP,0.477652,1.209,True
349,-1,0.0,FN,0.0,0.0,True
350,-1,0.0,FN,0.0,0.0,True
351,-1,0.0,FN,0.0,0.0,True
352,487,0.437229,TP,0.425955,2.789,True
353,486,0.45,TP,0.423845,2.755,True
354,485,0.346939,TP,0.421415,2.848,True
355,2230,0.368421,TP,0.54931,1.01,True
356,483,0.386047,TP,0.449826,3.226,True
357,-1,0.0,FN,0.0,0.0,True
358,2234,0.333333,TP,0.554121,2.102,True
359,2234,0.352657,TP,0.535557,1.497,True
360,2235,0.426174,TP,0.530894,1.275,True
361,-1,0.0,FN,0.0,0.0,True
362,-1,0.0,FN,0.0,0.0,True
363,2238,0.324444,TP,0.522503,0.76,True
364,-1,0.0,FN,0.0,0.0,True
365,2240,0.404682,TP,0.52362,0.808,True
366,2241,0.42268,TP,0.522501,0.955,True
367,2242,0.37457,TP,0.509339,1.268,True
368,2243,0.353535,TP,0.514974,1.544,True
369,2245,0.344948,TP,0.562052,2.077,True
370,-1,0.0,FN,0.0,0.0,True
371,2247,0.446735,TP,0.562486,2.19,True
372,2247,0.490741,TP,0.543733,1.289,True
373,2248,0.395425,TP,0.53946,1.35,True
374,2249,0.418919,TP,0.52673,1.379,True
375,2250,0.383117,TP,0.513454,1.396,True
376,2251,0.437722,TP,0.495043,1.416,True
377,2252,0.443478,TP,0.483622,1.449,True
378,2253,0.381148,TP,0.453042,1.442,True
379,2254,0.432,TP,0.436913,1.436,True
380,2256,0.364444,TP,0.446234,2.143,True
381,2257,0.550725,TP,0.4095,2.111,True
382,2257,0.439614,TP,0.390295,1.269,True
383,2258,0.47549,TP,0.390917,1.188,True
384,2259,0.415385,TP,0.411132,1.056,True
385,2260,0.321429,TP,0.434428,0.987,True
386,2261,0.351351,TP,0.453497,0.922,True
387,2262,0.507463,TP,0.468816,1.372,True
388,2263,0.31401,TP,0.469355,1.289,True
389,2264,0.430435,TP,0.478068,1.271,True
390,2265,0.368421,TP,0.489861,1.34,True
391,2266,0.311111,TP,0.513586,1.579,True
392,2268,0.369048,TP,0.534797,1.286,True
393,2269,0.422794,TP,0.521557,1.223,True
394,2270,0.409091,TP,0.515782,1.04,True
395,2271,0.361345,TP,0.496028,0.785,True
396,2272,0.340314,TP,0.463648,0.528,True
397,2273,0.391813,TP,0.441713,0.445,True
398,2275,0.501901,TP,0.438116,2.405,True
399,2275,0.362869,TP,0.416614,1.55,True
400,2277,0.321637,TP,0.430729,0.986,True
401,2278,0.517857,TP,0.431677,1.103,True
402,2279,0.417476,TP,0.448392,0.703,True
403,2280,0.357895,TP,0.441455,0.567,True
404,2281,0.470588,TP,0.429916,1.205,True
405,2282,0.39267,TP,0.445645,1.773,True
406,2284,0.494444,TP,0.46281,0.938,True
407,2285,0.487047,TP,0.464839,0.461,True
408,2286,0.450292,TP,0.465492,0.291,True
409,2287,0.497436,TP,0.467427,0.482,True
410,2288,0.497354,TP,0.460752,0.599,True
411,2289,0.375527,TP,0.469748,0.548,True
412,2290,0.364865,TP,0.496721,1.097,True
413,2292,0.579592,TP,0.502358,1.692,True
414,2292,0.543651,TP,0.476131,1.811,True
415,2294,0.554622,TP,0.492249,1.239,True
416,2295,0.470339,TP,0.467834,1.084,True
417,2296,0.522184,TP,0.492703,1.361,True
418,-1,0.0,FN,0.0,0.0,True
419,-1,0.0,FN,0.0,0.0,True
420,2298,0.551095,TP,0.424463,1.552,True
421,2300,0.539855,TP,0.406019,2.027,True
422,2300,0.51004,TP,0.393078,1.562,True
423,2301,0.46,TP,0.378177,1.424,True
424,2302,0.398406,TP,0.363569,2.061,True
425,2304,0.403922,TP,0.352731,4.577,True
426,2305,0.45122,TP,0.347787,6.393,True
427,-1,0.0,FN,0.0,0.0,True
428,1700,0.348178,TP,0.325289,6.133,True
429,-1,0.0,FN,0.0,0.0,True
430,1701,0.445283,TP,0.31352,2.436,True
431,1703,0.452675,TP,0.326748,1.89,True
432,1703,0.478992,TP,0.314212,1.949,True
433,-1,0.0,FN,0.0,0.0,True
434,-1,0.0,FN,0.0,0.0,True
435,-1,0.0,FN,0.0,0.0,True
436,-1,0.0,FN,0.0,0.0,True
437,-1,0.0,FN,0.0,0.0,True
438,-1,0.0,FN,0.0,0.0,True
439,-1,0.0,FN,0.0,0.0,True
440,-1,0.0,FN,0.0,0.0,True
441,1712,0.561321,TP,0.384576,1.997,True
442,1714,0.528037,TP,0.425307,1.253,True
443,1714,0.52968,TP,0.413307,2.101,True
444,-1,0.0,FN,0.0,0.0,True
445,1717,0.672566,TP,0.496677,1.836,True
446,1718,0.662222,TP,0.506013,1.955,True
447,1718,0.704225,TP,0.482399,1.247,True
448,1720,0.580189,TP,0.513802,2.649,True
449,1720,0.653266,TP,0.491066,0.486,True
450,1721,0.528497,TP,0.485564,1.102,True
451,1722,0.5311,TP,0.46065,2.385,True
452,1723,0.52973,TP,0.463469,4.147,True
453,-1,0.0,FN,0.0,0.0,True
454,385,0.546448,TP,0.339371,6.269,True
455,385,0.4,TP,0.312735,6.313,True
456,384,0.433884,TP,0.345657,6.291,True
457,-1,0.0,FN,0.0,0.0,True
458,-1,0.0,FN,0.0,0.0,True
459,380,0.45339,TP,0.381135,6.348,True
460,379,0.457249,TP,0.383435,6.333,True
461,379,0.506122,TP,0.368168,6.278,True
462,-1,0.0,FN,0.0,0.0,True
463,377,0.347826,TP,0.370687,6.41,True
464,376,0.471616,TP,0.396323,6.299,True
465,375,0.367089,TP,0.35423,6.268,True
466,374,0.487903,TP,0.350564,6.298,True
467,-1,0.0,FN,0.0,0.0,True
468,-1,0.0,FN,0.0,0.0,True
469,371,0.423664,TP,0.360122,6.434,True
470,369,0.467593,TP,0.389496,6.882,True
471,367,0.432039,TP,0.4272,8.766,True
472,-1,0.0,FN,0.0,0.0,True
473,368,0.395349,TP,0.367131,6.959,True
474,-1,0.0,FN,0.0,0.0,True
475,365,0.487923,TP,0.342853,7.773,True
476,-1,0.0,FN,0.0,0.0,True
477,-1,0.0,FN,0.0,0.0,True
478,362,0.417021,TP,0.313244,9.986,True
479,-1,0.0,FN,0.0,0.0,True
480,-1,0.0,FN,0.0,0.0,True
481,-1,0.0,FN,0.0,0.0,True
482,358,0.491667,FP,0.371607,10.302,True
483,-1,0.0,FN,0.0,0.0,True
484,357,0.453782,TP,0.359416,9.301,True
485,356,0.372385,TP,0.35787,9.29,True
486,-1,0.0,FN,0.0,0.0,True
487,-1,0.0,FN,0.0,0.0,True
488,-1,0.0,FN,0.0,0.0,True
489,-1,0.0,FN,0.0,0.0,True
490,-1,0.0,FN,0.0,0.0,True
491,-1,0.0,FN,0.0,0.0,True
492,-1,0.0,FN,0.0,0.0,True
493,-1,0.0,FN,0.0,0.0,True
494,-1,0.0,FN,0.0,0.0,True
495,-1,0.0,FN,0.0,0.0,True
496,-1,0.0,FN,0.0,0.0,True
497,-1,0.0,FN,0.0,0.0,True
498,-1,0.0,FN,0.0,0.0,True
499,341,0.307927,TP,0.446412,9.117,True
500,340,0.356322,TP,0.443118,9.015,True
501,339,0.376374,TP,0.442862,8.853,True
502,337,0.373656,TP,0.470828,9.495,True
503,337,0.395894,TP,0.451689,8.338,True
504,337,0.39726,TP,0.428036,9.021,True
505,-1,0.0,FN,0.0,0.0,True
506,334,0.363363,TP,0.428791,7.779,True
507,-1,0.0,FN,0.0,0.0,True
508,332,0.390323,TP,0.422137,7.765,True
509,-1,0.0,FN,0.0,0.0,True
510,-1,0.0,FN,0.0,0.0,True
511,-1,0.0,FN,0.0,0.0,True
512,-1,0.0,FN,0.0,0.0,True
513,-1,0.0,FN,0.0,0.0,True
514,-1,0.0,FN,0.0,0.0,True
515,-1,0.0,FN,0.0,0.0,True
516,-1,0.0,FN,0.0,0.0,True
517,-1,0.0,FN,0.0,0.0,True
518,-1,0.0,FN,0.0,0.0,True
519,-1,0.0,FN,0.0,0.0,True
520,1811,0.305936,TP,0.322988,7.378,True
521,2422,0.304545,TP,0.317771,5.854,True
522,316,0.303318,TP,0.297862,6.46,True
523,-1,0.0,FN,0.0,0.0,True
524,2426,0.336842,TP,0.38535,2.529,True
525,1818,0.434211,TP,0.399637,2.527,True
526,2428,0.40553,TP,0.38583,2.908,True
527,-1,0.0,FN,0.0,0.0,True
528,-1,0.0,FN,0.0,0.0,True
529,-1,0.0,FN,0.0,0.0,True
530,-1,0.0,FN,0.0,0.0,True
531,-1,0.0,FN,0.0,0.0,True
532,-1,0.0,FN,0.0,0.0,True
533,-1,0.0,FN,0.0,0.0,True
534,-1,0.0,FN,0.0,0.0,True
535,-1,0.0,FN,0.0,0.0,True
536,-1,0.0,FN,0.0,0.0,True
537,1832,0.375,TP,0.364334,1.047,True
538,1834,0.411765,TP,0.387132,2.327,True
539,-1,0.0,FN,0.0,0.0,True
540,1836,0.402299,TP,0.366038,1.299,True
541,-1,0.0,FN,0.0,0.0,True
542,1838,0.361111,TP,0.420779,0.23,True
543,1839,0.345794,TP,0.464288,0.476,True
544,1841,0.401316,TP,0.518056,2.214,True
545,1841,0.39011,TP,0.546756,1.686,True
546,2453,0.341026,TP,0.562989,1.675,True
547,1844,0.434146,TP,0.543012,0.215,True
548,2455,0.30203,TP,0.527535,2.116,True
549,1846,0.374118,TP,0.508996,1.182,True
550,-1,0.0,FN,0.0,0.0,True
551,-1,0.0,FN,0.0,0.0,True
552,-1,0.0,FN,0.0,0.0,True
553,-1,0.0,FN,0.0,0.0,True
554,-1,0.0,FN,0.0,0.0,True
555,-1,0.0,FN,0.0,0.0,True
556,-1,0.0,FN,0.0,0.0,True
557,-1,0.0,FN,0.0,0.0,True
558,-1,0.0,FN,0.0,0.0,True
559,-1,0.0,FN,0.0,0.0,True
560,-1,0.0,FN,0.0,0.0,True
561,-1,0.0,FN,0.0,0.0,True
562,1860,0.334821,TP,0.269502,2.919,True
563,-1,0.0,FN,0.0,0.0,True
564,-1,0.0,FN,0.0,0.0,True
565,-1,0.0,FN,0.0,0.0,True
566,-1,0.0,FN,0.0,0.0,True
567,-1,0.0,FN,0.0,0.0,True
568,-1,0.0,FN,0.0,0.0,True
569,-1,0.0,FN,0.0,0.0,True
570,-1,0.0,FN,0.0,0.0,True
571,-1,0.0,FN,0.0,0.0,True
572,-1,0.0,FN,0.0,0.0,True
573,-1,0.0,FN,0.0,0.0,True
574,-1,0.0,FN,0.0,0.0,True
575,-1,0.0,FN,0.0,0.0,True
576,-1,0.0,FN,0.0,0.0,True
577,-1,0.0,FN,0.0,0.0,True
578,-1,0.0,FN,0.0,0.0,True
579,-1,0.0,FN,0.0,0.0,True
580,2491,0.365482,TP,0.463025,3.072,True
581,2492,0.38191,TP,0.463444,2.29,True
582,-1,0.0,FN,0.0,0.0,True
583,-1,0.0,FN,0.0,0.0,True
584,-1,0.0,FN,0.0,0.0,True
585,-1,0.0,FN,0.0,0.0,True
586,2497,0.378238,TP,0.467358,1.749,True
587,1887,0.360215,TP,0.500023,0.887,True
588,1888,0.417021,TP,0.507831,0.765,True
589,1889,0.376,TP,0.515548,0.84,True
590,2500,0.348739,TP,0.53085,1.497,True
591,2501,0.475285,TP,0.518337,1.718,True
592,2502,0.37037,TP,0.485054,1.51,True
593,1893,0.376569,TP,0.465529,1.077,True
594,2504,0.454128,TP,0.448152,1.315,True
595,2505,0.349345,TP,0.432063,1.356,True
596,1896,0.494774,TP,0.413833,0.846,True
597,1897,0.404624,TP,0.398783,0.85,True
598,2509,0.445312,TP,0.394854,1.599,True
599,2510,0.494505,TP,0.385163,0.815,True
600,1900,0.53617,TP,0.357862,1.277,True
601,1901,0.512605,TP,0.331321,2.491,True
602,2513,0.504065,TP,0.324887,4.401,True
603,-1,0.0,FN,0.0,0.0,True
